danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,genre,popularity
0.495,0.326,7,-12.29,1,0.0365,0.541,8.85e-05,0.0996,0.371,136.243,476V2d6iA2tWXgQboKmTtA,221120,4,Folk,74
0.4,0.479,8,-7.989,0,0.0308,0.0529,2.14e-06,0.115,0.213,166.159,1Fid2jjqsHViMX6xNH70hE,229173,4,Folk,75
0.606,0.282,9,-12.207,0,0.0339,0.501,8.3e-06,0.152,0.563,67.409,683b4ikwa62JevCjwrmfg6,274040,4,Folk,70
0.564,0.354,7,-10.85,1,0.0334,0.73,3.43e-06,0.208,0.423,98.075,47KDDZgFiX1w6RFOuLXsSn,240587,3,Folk,68
0.462,0.395,9,-9.376,1,0.0264,0.758,0.0,0.121,0.625,82.259,1YYhDizHx7PnDhAhko6cDS,190160,4,Folk,70
0.619,0.579,4,-9.307,1,0.0473,0.0152,6.4e-05,0.0858,0.69,127.224,4alHo6RGd0D3OUbTPExTHN,225627,4,Folk,71
0.768,0.829,5,-5.109,1,0.0313,0.0964,2.92e-05,0.097,0.962,118.773,2olVm1lHicpveMAo4AUDRB,234333,4,Folk,75
0.396,0.473,10,-7.67,0,0.0345,0.326,0.000124,0.109,0.385,133.449,5t9KYe0Fhd5cW6UYT4qP8f,219027,4,Folk,72
0.758,0.378,8,-15.308,0,0.0449,0.284,0.0,0.049,0.985,120.736,2yBVeksU2EtrPJbTu4ZslK,223867,4,Folk,71
0.584,0.367,6,-9.638,0,0.0328,0.55,1.38e-05,0.0818,0.588,120.175,1JO1xLtVc8mWhIoE3YaCL0,176293,4,Folk,75
0.579,0.267,4,-15.11,1,0.0348,0.118,0.000562,0.132,0.353,74.899,2T5Ch09nefwckOu5NQvjIk,238573,4,Folk,67
0.429,0.167,7,-15.725,0,0.0298,0.902,0.522,0.109,0.0913,109.071,1GxNPd5r7D1zChEMuMhue0,268456,4,Folk,65
0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,4J0DbyODwZJcmIAiTSJfMF,180693,3,Folk,72
0.697,0.676,7,-10.742,1,0.0402,0.706,0.0,0.0824,0.852,148.072,1O0xeZrBDbq7HPREdmYUYK,182240,4,Folk,67
0.525,0.216,6,-13.551,1,0.0301,0.837,0.0,0.107,0.328,106.761,5y788ya4NvwhBznoDIcXwK,185413,4,Folk,75
0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,2kkvB3RNRzwjFdGhaUA0tz,423840,4,Folk,75
0.324,0.335,0,-15.595,1,0.0355,0.099,1.08e-06,0.0995,0.141,119.513,0PsbWiVtix5FoTZ1s00mEl,367000,4,Folk,68
0.509,0.31,9,-10.623,1,0.0313,0.959,0.229,0.0963,0.151,137.474,7CoMBpPTwQi2wPT0U0Nr9b,208653,3,Folk,70
0.564,0.636,7,-8.136,1,0.0418,0.739,0.0224,0.0807,0.218,101.913,3wcluZHyfuTzIXHfwXVAIE,193187,4,Folk,67
0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,5UwbnHhjnbinJH8TefuQfN,199200,4,Folk,65
0.571,0.399,4,-11.919,1,0.0364,0.766,0.0146,0.0926,0.611,141.922,3HAgxyWGeJtIVabS2mTREt,129464,4,Folk,68
0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,2wvMC5EyaaYQwBfiwwY2xE,536227,4,Folk,69
0.485,0.591,10,-3.888,1,0.0453,0.119,0.00278,0.0787,0.636,160.336,7BDbyDs5FUmnh955RABFd7,218493,4,Folk,66
0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318,2QgWuCtBpNIpl5trmKCxRf,515867,4,Folk,70
0.589,0.177,3,-14.891,1,0.0325,0.977,0.714,0.0958,0.311,88.409,5YqpHuXpFjDVZ7tY1ClFll,161680,4,Folk,65
0.565,0.645,0,-12.923,1,0.0484,0.0552,2.84e-06,0.151,0.836,99.3,1ZhrREyOOeFV6TxDOyiPwu,170173,4,Folk,68
0.625,0.432,2,-11.948,1,0.0283,0.633,0.00242,0.127,0.361,137.926,3G9ETaH55bMQx8hwNhAgbU,360933,4,Folk,66
0.568,0.634,4,-12.336,1,0.0282,0.494,0.00281,0.252,0.866,142.686,40h65HAR8COEoqkMwUUQHu,257963,4,Folk,69
0.567,0.434,7,-12.755,0,0.0349,0.86,0.257,0.115,0.254,82.459,7gDNQLV9cr8449LFrQbk5J,272347,4,Folk,69
0.711,0.464,4,-4.816,0,0.0488,0.648,0.00373,0.0846,0.507,127.274,0qI1W6chJgvrSAzAkX9JBa,234973,4,Folk,68
0.741,0.647,2,-12.878,1,0.0427,0.108,0.00139,0.0555,0.804,131.097,4ZoBC5MhSEzuknIgAkBaoT,284000,4,Folk,71
0.228,0.224,7,-12.749,1,0.0311,0.946,0.000222,0.273,0.18,60.3,2TjnCxxQRYn56Ye8gkUKiW,213713,4,Folk,70
0.744,0.516,2,-6.365,1,0.0513,0.632,0.0,0.605,0.281,97.944,474uVhyGgK5MtY9gMcDgGl,152293,4,Folk,67
0.795,0.564,7,-10.482,1,0.0392,0.0934,0.000531,0.0631,0.961,124.166,1b7LMtXCXGc2EwOIplI35z,203893,4,Folk,71
0.369,0.515,2,-9.125,1,0.0292,0.427,0.00021,0.286,0.372,95.351,7paeGrohxo8xM3LlsIXYBM,259120,4,Folk,64
0.596,0.827,5,-4.402,1,0.0372,0.0242,0.0,0.0958,0.329,115.034,6liNJDyWJjyHAgDnAX95bw,249382,4,Folk,68
0.579,0.839,8,-5.409,0,0.0703,0.0145,3.04e-05,0.201,0.589,158.141,0l4AReW2LuX0yStPfgQgSR,177173,4,Folk,77
0.621,0.403,9,-8.211,1,0.0359,0.581,0.0,0.114,0.634,145.523,359krpyCKcFF8SFvqWES9L,232133,4,Folk,66
