endTime,artistName,trackName,msPlayed
12/30/2019 09:06,Rustie,Attak (feat. Danny Brown),181106
12/30/2019 09:10,Denzel Curry,SUMO | ZUMO,227373
12/30/2019 09:13,BROCKHAMPTON,ST. PERCY,210773
12/30/2019 09:16,Offset,Ric Flair Drip (& Metro Boomin),172800
12/30/2019 09:19,DaBaby,BOP,159714
12/30/2019 09:21,Ski Mask The Slump God,Catch Me Outside,145760
12/30/2019 09:25,Kanye West,Touch The Sky,236600
12/30/2019 09:28,Vince Staples,Norf Norf,183160
12/30/2019 09:31,Lil Uzi Vert,Futsal Shuffle 2020,198912
12/30/2019 09:35,Vince Staples,Blue Suede,218040
12/30/2019 09:37,Joey Purp,Elastic,126385
12/30/2019 09:40,Young Thug,Hot (feat. Gunna),193026
12/30/2019 09:43,Vince Staples,Love Can Be...,178826
12/30/2019 09:46,Octavian,Bet (feat. Skepta & Michael Phantom),166143
12/30/2019 09:49,Vince Staples,Big Fish,198133
12/30/2019 09:53,Playboi Carti,Poke It Out (with Nicki Minaj),269813
12/30/2019 09:54,Jay Rock,WIN,50052
12/30/2019 09:57,TNGHT,Dollaz,193293
12/30/2019 10:00,KAMAUU,MăNDŭRĭN - Of The Trees Remix,200899
12/30/2019 10:04,TroyBoi,Do You?,186962
12/30/2019 10:08,TroyBoi,Get Money,247058
12/30/2019 10:10,TroyBoi,PAPI CHULO,119154
12/30/2019 10:14,TroyBoi,Snobby (feat. Icekream),251586
12/30/2019 10:18,TroyBoi,Flamez,254814
12/30/2019 10:20,TroyBoi,Drip (No Mayo),133069
12/30/2019 10:23,TroyBoi,Look At Me (feat. Ice Cube),172235
12/30/2019 10:27,TroyBoi,Tender Love,280000
12/30/2019 10:31,TroyBoi,ili,245000
12/30/2019 10:34,TroyBoi,The Truth,158873
12/30/2019 10:38,TroyBoi,Say Yeah,218400
12/30/2019 10:41,TroyBoi,B.I.A,236470
12/30/2019 10:45,TroyBoi,WARLORDZ (feat. Skrillex),198620
