,Unnamed: 0,endTime,artistName,trackName,msPlayed,trackID,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
68,68,12/29/2019 22:11,JMSN,Love & Pain (Kaytranada Remix),288027,14u0zLm6T13VV72Gggpll8,288027.0,8.0,1.0,4.0,0.00655,0.841,0.337,0.000257,0.0729,-5.98,0.315,0.435,120.01
69,69,12/29/2019 22:14,GoldLink,Fall in Love (feat. Ciscero),184571,2RISD4aJrioDB54exm5WWM,184571.0,1.0,1.0,4.0,0.058,0.627,0.837,0.000567,0.328,-7.162,0.36,0.504,105.105
70,70,12/29/2019 22:18,Mark Ronson,I Can't Lose (feat. Keyone Starr) - Pomo Remix,192686,52yAJNEvLjD5wRMnSDa3na,217200.0,11.0,1.0,4.0,0.0615,0.757,0.639,1.45e-05,0.18,-7.34,0.434,0.459,115.234
71,71,12/29/2019 22:21,Ravyn Lenae,Free Room (feat. Appleby),217013,3HEn14GqygLCNfroOnYiZb,217013.0,4.0,1.0,4.0,0.729,0.778,0.465,0.000557,0.107,-7.662,0.318,0.386,120.172
72,72,12/29/2019 22:25,Lou Phelps,Come Inside (feat. Jazz Cartier),231733,,,,,,,,,,,,,,
73,73,12/29/2019 22:29,Cosmo's Midnight,Get To Know (feat. Winston Surfshirt),243599,1LvASuCm9gPr9684FFNKdt,243599.0,8.0,1.0,4.0,0.114,0.754,0.531,0.00152,0.0785,-11.87,0.238,0.458,109.062
74,74,12/29/2019 22:31,Baylen,Hit That,153125,,,,,,,,,,,,,,
75,75,12/29/2019 22:35,Hoodboi,Glide,233739,0VQCjhRnEM2EYYO0zlp34H,233739.0,8.0,0.0,4.0,0.182,0.734,0.559,0.0,0.0693,-8.578,0.114,0.263,114.95
76,76,12/29/2019 22:40,Tuxedo,The Right Time (Kaytranada Remix),264005,3JoT6Se0HqhEm8gZXneM2u,264005.0,2.0,1.0,4.0,0.0496,0.885,0.686,0.00215,0.228,-5.531,0.258,0.626,120.015
77,77,12/29/2019 22:42,Fabich,Back to Life,180000,7MVwXNWOCJRlUgzqPw73tH,180000.0,4.0,0.0,4.0,0.0179,0.873,0.377,0.0,0.122,-9.248,0.128,0.772,116.081
78,78,12/29/2019 22:48,AlunaGeorge,Kaleidoscope Love - Kaytranada Edition,348527,0eTX0DeAdYZGCUIpUNNbLw,348527.0,4.0,0.0,4.0,0.221,0.801,0.469,0.101,0.0837,-13.131,0.182,0.317,115.096
79,79,12/29/2019 22:51,Jarreau Vandal,Someone That You Love,177062,3S2LNcyJre3hvJbPTcoghO,177063.0,4.0,1.0,4.0,0.558,0.737,0.429,0.0,0.142,-8.261,0.0665,0.44,105.059
80,80,12/29/2019 22:54,Jorja Smith,On My Mind (Jorja Smith X Preditah),181509,1OxL1FWSEd7QmJoWLRP2NO,181510.0,10.0,0.0,4.0,0.42,0.71,0.662,0.0,0.0723,-5.947,0.175,0.755,130.037
81,81,12/29/2019 23:58,GoldLink,Rough Soul (feat. April George),318,5v0C3nNNDMhZ3nWzzP0W4T,181026.0,4.0,0.0,4.0,0.0273,0.795,0.529,0.000129,0.0938,-18.345,0.0605,0.419,117.009
82,82,12/29/2019 23:58,Joe Hertz,Stay Lost - Cabu Remix,223945,3xy8karhdpkltgdwj9FGbQ,226909.0,2.0,0.0,4.0,0.0471,0.572,0.498,4.67e-06,0.247,-10.484,0.431,0.549,109.192
83,83,12/29/2019 23:59,Zaire the Zeitgeist,Kid Buu,105334,31UTOtKvxRU67G4VFMAA2W,114056.0,11.0,1.0,4.0,0.082,0.895,0.77,0.000114,0.0917,-6.872,0.0617,0.291,135.969
84,84,12/30/2019 00:01,GoldLink,Bedtime Story,1940,,,,,,,,,,,,,,
