0,1,2,3,4,Cloud Cover,Maximum Temperature,Minimum Temperature,Precipitation,Relative Humidity,Snow Depth,Temperature,Visibility,Wind Chill,Wind Gust,Wind Speed
0.0,0.0,0.0,1.0,0.0,65.5,47.9,34.0,0.26,69.47,0.0,39.6,6.2,28.6,10.0,14.7
0.0,0.0,1.0,0.0,0.0,52.6,66.6,29.9,0.0,48.82,0.0,48.8,9.9,29.5,34.4,18.3
0.0,0.0,1.0,0.0,0.0,49.0,53.9,38.8,0.0,47.04,0.0,46.0,9.9,34.9,19.7,13.7
0.0,0.0,0.0,1.0,0.0,44.7,51.2,33.0,0.16,56.82,0.0,41.2,9.3,28.5,43.6,21.2
0.0,0.0,1.0,0.0,0.0,50.6,43.9,30.8,0.0,45.04,0.0,36.8,9.6,18.6,46.7,34.1
0.0,0.0,1.0,0.0,0.0,46.9,55.0,29.0,0.0,38.04,0.0,41.6,10.0,23.8,20.8,13.5
0.0,0.0,0.0,1.0,0.0,75.0,52.9,40.9,0.05,49.66,0.0,45.6,9.9,38.4,10.0,7.8
0.0,0.0,1.0,0.0,0.0,68.1,65.8,39.7,0.0,40.22,0.0,53.8,10.0,39.2,10.0,6.8
0.0,0.0,0.0,1.0,0.0,84.9,55.8,38.9,0.36,52.66,0.0,49.1,9.0,31.7,23.0,15.9
0.0,0.0,0.0,1.0,0.0,91.6,46.0,37.1,0.43,77.87,0.0,42.0,9.4,30.5,24.2,16.9
0.0,0.0,0.0,1.0,0.0,53.2,61.9,38.9,0.01,55.66,0.0,49.5,10.0,34.6,20.8,14.8
0.0,0.0,1.0,0.0,0.0,66.4,65.0,38.9,0.0,46.35,0.0,53.0,10.0,37.9,28.8,18.2
0.0,0.0,0.0,1.0,0.0,84.4,57.7,47.0,0.25,65.59,0.0,52.3,8.7,41.3,39.1,21.0
0.0,0.0,0.0,1.0,0.0,72.7,61.1,53.9,0.46,79.11,0.0,57.5,8.3,10.0,30.0,14.7
0.0,0.0,1.0,0.0,0.0,36.6,71.0,44.1,0.0,48.42,0.0,58.4,10.0,39.5,24.2,18.0
0.0,0.0,0.0,1.0,0.0,58.1,78.0,55.2,0.01,43.61,0.0,67.1,10.0,10.0,31.1,20.5
0.0,0.0,1.0,0.0,0.0,62.3,62.9,47.0,0.0,48.54,0.0,54.5,10.0,41.8,32.8,21.5
0.0,0.0,1.0,0.0,0.0,39.2,57.8,38.0,0.0,44.19,0.0,48.0,10.0,30.6,23.0,17.0
0.0,0.0,1.0,0.0,0.0,59.6,56.9,37.1,0.0,47.94,0.0,49.1,9.9,39.1,10.0,7.0
0.0,0.0,0.0,1.0,0.0,63.0,64.0,43.8,0.08,38.36,0.0,54.7,9.8,42.3,33.3,20.3
